suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.233,Using the Surface Water and Ocean Topography Mission Data to Estimate River Bathymetry and Channel Roughness,,2021,10.1016/b978-0-12-819412-6.00005-5,6,R. Frasson
recommend,0.233,The Potential of SWOT River Discharge Estimates to Constrain Hydrological Processes Globally in Ungaged Basins,IEEE International Geoscience and Remote Sensing Symposium,2020,10.1109/igarss39084.2020.9323156,4,M. Durand; C. Gleason; R. Frasson; T. Pavelsky
recommend,0.233,Detecting Water‐Surface Superelevation in Meandering Rivers Using Surface Water and Ocean Topography (SWOT) Satellite Data,Geophysical Research Letters,2026,10.1029/2025gl119167,2,Tasneem Haq Meem; B. Rhoads; Jida Wang; R. Frasson
recommend,0.233,"A Methodological Framework to Combine Multiple Precipitation Datasets for Improving Streamflow Simulations: A test study in the Saskatchewan River basin, Canada",,2020,10.5194/egusphere-egu2020-12547,0,Jefferson S. Wong; Fuad Yassin; J. Famiglietti
recommend,0.233,High Precision Altimetry Using Spaceborne Grazing Angle GNSS-Reflectometry Over Tonlé Sap Lake,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2026,10.1109/jstars.2026.3662584,0,Ieee Margaret Scott Graduate Student Member; Alexa Putnam; Ieee Rashmi Shah Senior Member; Cédric H. David; J. Minear; C. Roesler; Ieee Y. Jade Morton Fellow; Y. Jade
recommend,0.209,Basin scale estimates of evapotranspiration using GRACE and other observations,,2004,10.1029/2004gl020873,500,M. Rodell; J. Famiglietti; Jianli Chen; S. Seneviratne; P. Viterbo; S. Holl; C. Wilson
recommend,0.209,Recent Changes in Land Water Storage and its Contribution to Sea Level Variations,Surveys in geophysics,2016,10.1007/s10712-016-9399-6,98,Y. Wada; J. Reager; B. Chao; Jida Wang; M. Lo; Chunqiao Song; YuWen Li; A. Gardner
recommend,0.209,ET-WB: water-balance-based estimations of terrestrial evaporation over global land and major global basins,Earth System Science Data,2023,10.5194/essd-15-4571-2023,34,Jinghua Xiong; Li Xu; H. Chandanpurkar; J. Famiglietti; Chong Zhang; G. Ghiggi; Shenglian Guo; Yun Pan; B. Vishwakarma
recommend,0.209,GRACE satellite observations reveal the severity of recent water over-consumption in the United States,Scientific Reports,2017,10.1038/s41598-017-07450-y,32,K. Solander; J. Reager; Y. Wada; J. Famiglietti; R. Middleton
recommend,0.209,On the Desiccation of the South Aral Sea Observed from Spaceborne Missions,Remote Sensing,2018,10.3390/rs10050793,29,Alka Singh; A. Behrangi; J. Fisher; J. Reager
recommend,0.209,Drought Cascade in the Terrestrial Water Cycle: Evidence From Remote Sensing,Geophysical Research Letters,2021,10.1029/2021gl093482,27,A. Farahmand; J. Reager; N. Madani
recommend,0.209,Characterization of Basin-Scale Dynamic Storage–Discharge Relationship Using Daily GRACE Based Storage Anomaly Data,Géosciences,2020,10.3390/geosciences10100404,8,D. Sharma; S. Patnaik; B. Biswal; J. Reager
recommend,0.186,Groundwater depletion in the Middle East from GRACE with implications for transboundary water management in the Tigris-Euphrates-Western Iran region,Water Resources Research,2013,10.1002/wrcr.20078,757,K. Voss; J. Famiglietti; M. Lo; C. Linage; M. Rodell; S. Swenson
recommend,0.186,Improving parameter estimation and water table depth simulation in a land surface model using GRACE water storage and estimated base flow data,,2010,10.1029/2009wr007855,141,M. Lo; J. Famiglietti; P. Yeh; T. Syed
recommend,0.186,Characteristic mega-basin water storage behavior using GRACE,Water Resources Research,2013,10.1002/wrcr.20264,74,J. Reager; J. Famiglietti
recommend,0.186,Constraining water table depth simulations in a land surface model using estimated baseflow,,2008,10.1016/j.advwatres.2008.06.007,47,M. Lo; P. Yeh; J. Famiglietti
recommend,0.186,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,,2015,10.5194/hess-19-3253-2015,45,E. Sproles; E. Sproles; E. Sproles; S. Leibowitz; J. Reager; P. J. Wigington; J. Famiglietti; S. Patil
recommend,0.186,An Open-Source Tool to Facilitate the Processing of GRACE Observations and GLDAS Outputs: An Evaluation in Bangladesh,Frontiers in Environmental Science,2019,10.3389/fenvs.2019.00155,33,A. Purdy; C. David; M. S. Sikder; J. Reager; H. Chandanpurkar; N. Jones; M. Matin
recommend,0.186,Statistical prediction of terrestrial water storage changes in the Amazon Basin using tropical Pacific and North Atlantic sea surface temperature anomalies,,2014,10.5194/hess-18-2089-2014,30,C. Linage; J. Famiglietti; J. Randerson
recommend,0.186,Model-data fusion of hydrologic simulations and GRACE terrestrial water storage observations to estimate changes in water table depth,Advances in Water Resources,2019,10.1016/j.advwatres.2019.04.004,25,D. Stampoulis; J. Reager; C. David; K. Andreadis; J. Famiglietti; T. Farr; A. Trangsrud; R. Basilio; J. Sabo; G. Osterman; P. Lundgren; Zhen Liu
recommend,0.186,Quantifying Groundwater's Contribution to Regional Environmental‐Flows in Diverse Hydrologic Landscapes,Water Resources Research,2023,10.1029/2022wr033153,15,C. Mohan; T. Gleeson; T. Forstner; J. Famiglietti; Inge E. M. de Graaf
recommend,0.186,Influence of Nonseasonal River Discharge on Sea Surface Salinity and Height,Journal of Advances in Modeling Earth Systems,2022,10.1029/2021ms002715,13,H. Chandanpurkar; Tong Lee; Xiaochun Wang; Hong Zhang; S. Fournier; I. Fenty; I. Fukumori; D. Menemenlis; C. Piecuch; J. Reager; O. Wang; J. Worden
recommend,0.186,The impact of spatial resolution on inland water quality monitoring from space,Environmental Research Communications,2024,10.1088/2515-7620/ad7dd8,10,R. Frasson; David R. Ardila; Joshua Pease; Erin L. Hestir; Courtney Bright; Nick Carter; Arnold G. Dekker; David R. Thompson; Robert O. Green; Alex Held
recommend,0.186,Poor correlation between large-scale environmental flow violations and freshwater biodiversity: implications for water resource management and the freshwater planetary boundary,Hydrology and Earth System Sciences,2022,10.5194/hess-26-6247-2022,9,C. Mohan; T. Gleeson; J. Famiglietti; Vili Virkki; M. Kummu; M. Porkka; L. Wang‐Erlandsson; Xander Huggins; D. Gerten; S. Jähnig
recommend,0.186,ExEP yield modeling tool and validation test results,Optical Engineering + Applications,2017,10.1117/12.2274468,7,R. Morgan; M. Turmon; C. Delacroix; D. Savransky; Daniel Garrett; P. Lowrance; Xiangkun Liu; P. Nuñez
recommend,0.186,How Well Can We Estimate River Discharge Based on the Surface Water and Ocean Topography (SWOT) Mission Observations? The Ungaged Basin Scenario.,,2019,,0,H. Oubanas; R. Frasson; K. Larnier; C. Gleason; M. Durand
recommend,0.186,Land–Ocean Pathways Linking Indo‐Pacific Sea Surface Temperature Variability to Tropical Atlantic Coastal Salinity,Journal of Geophysical Research - Oceans,2026,10.1029/2025jc023816,0,S. Jarugula; S. Fournier; J. Reager; M. Pascolini‐Campbell
recommend,0.163,Global sea-level budget 1993–present,Earth System Science Data,2018,10.5194/essd-10-1551-2018,517,A. Cazenave; B. Meyssignac; M. Ablain; M. Balmaseda; J. Bamber; V. Barletta; B. Beckley; J. Benveniste; E. Berthier; A. Blazquez; T. Boyer; D. Cáceres; D. Chambers; N. Champollion; B. Chao; Jianli Chen; Lijing Cheng; J. Church; S. Chuter; J. Cogley; S. Dangendorf; D. Desbruyères; P. Döll; C. Domingues; U. Falk; J. Famiglietti; L. Fenoglio-Marc; R. Forsberg; Gaia Galassi; A. Gardner; A. Groh; B. Hamlington; A. Hogg; M. Horwath; V. Humphrey; L. Husson; M. Ishii; A. Jaeggi; S. Jevrejeva; G. Johnson; N. Kolodziejczyk; J. Kusche; K. Lambeck; F. Landerer; P. Leclercq; B. Legrésy; E. Leuliette; W. Llovel; L. Longuevergne; B. Loomis; S. Luthcke; M. Marcos; B. Marzeion; C. Merchant; M. Merrifield; G. Milne; G. Mitchum; Yara Mohajerani; M. Monier; D. Monselesan; S. Nerem; H. Palanisamy; F. Paul; B. Pérez; C. Piecuch; R. Ponte; S. Purkey; J. Reager; R. Rietbroek; E. Rignot; R. Riva; D. Roemmich; L. Sørensen; I. Sasgen; E. Schram; S. Seneviratne; C. Shum; G. Spada; D. Stammer; R. V. D. Wal; I. Velicogna; K. Schuckmann; Y. Wada; Yiguo Wang; C. Watson; D. Wiese; S. Wijffels; R. Westaway; G. Wöppelmann; B. Wouters
recommend,0.163,Recent global decline in endorheic basin water storages,Nature Geoscience,2018,10.1038/s41561-018-0265-7,406,Jida Wang; Chunqiao Song; J. Reager; Fangfang Yao; J. Famiglietti; Y. Sheng; G. MacDonald; F. Brun; H. Schmied; R. Marston; Y. Wada
recommend,0.163,Uncertainty in global groundwater storage estimates in a Total Groundwater Stress framework,Water Resources Research,2015,10.1002/2015wr017351,218,A. Richey; B. Thomas; M. Lo; J. Famiglietti; S. Swenson; M. Rodell
recommend,0.163,Detection of Continental Hydrology and Glaciology Signals from GRACE: A Review,,2008,10.1007/s10712-008-9048-9,218,G. Ramillien; J. Famiglietti; J. Wahr
recommend,0.163,Total basin discharge for the Amazon and Mississippi River basins from GRACE and a land‐atmosphere water balance,,2005,10.1029/2005gl024851,202,T. Syed; J. Famiglietti; Jianli Chen; M. Rodell; S. Seneviratne; P. Viterbo; C. Wilson
recommend,0.163,Downscaling GRACE Remote Sensing Datasets to High-Resolution Groundwater Storage Change Maps of California's Central Valley,Remote Sensing,2018,10.3390/rs10010143,145,M. Miro; J. Famiglietti
recommend,0.163,"Global Relationships Between River Width, Slope, Catchment Area, Meander Wavelength, Sinuosity, and Discharge",Geophysical Research Letters,2019,10.1029/2019gl082027,132,R. Frasson; T. Pavelsky; M. Fonstad; Michael T. Durand; George H. Allen; G. Schumann; C. Lion; R. Edward Beighley; Xiao Yang
recommend,0.163,A novel approach to monitoring wetland dynamics using CYGNSS: Everglades case study,Remote Sensing of Environment,2019,10.1016/j.rse.2019.111417,106,M. Morris; C. Chew; J. Reager; R. Shah; C. Zuffada
recommend,0.163,Fresh Submarine Groundwater Discharge to the Near‐Global Coast,Geophysical Research Letters,2019,10.1029/2019gl082749,105,YaoQuan Zhou; A. Sawyer; C. David; J. Famiglietti
recommend,0.163,Satellite observations of terrestrial water storage provide early warning information about drought and fire season severity in the Amazon,,2013,10.1002/jgrg.20046,88,Yang Chen; I. Velicogna; J. Famiglietti; J. Randerson
recommend,0.163,"Seasonal global mean sea level change from satellite altimeter, GRACE, and geophysical models",,2005,10.1007/s00190-005-0005-9,76,Jianli Chen; C. Wilson; B. Tapley; J. Famiglietti; M. Rodell
recommend,0.163,Utilizing combined deviations of precipitation and GRACE-based terrestrial water storage as a metric for drought characterization: A case study over major Indian river basins,Journal of Hydrology,2019,10.1016/j.jhydrol.2019.02.053,75,D. Sinha; T. Syed; J. Reager
recommend,0.163,Global Estimates of River Flow Wave Travel Times and Implications for Low‐Latency Satellite Data,,2018,10.1029/2018gl077914,63,G. Allen; C. David; K. Andreadis; F. Hossain; J. Famiglietti
recommend,0.163,GMD Perspective: the quest to improve the evaluation of groundwater representation in continental to global scale models,,2021,10.5194/gmd-2021-97,61,T. Gleeson; Thorsten Wagener; P. Döll; S. Zipper; C. West; Y. Wada; Richard Taylor; B. Scanlon; R. Rosolem; S. Rahman; Nurudeen Oshinlaja; R. Maxwell; M. Lo; Hyungjun Kim; M. Hill; A. Hartmann; G. Fogg; J. Famiglietti; A. Ducharne; I. Graaf; M. Cuthbert; L. Condon; E. Bresciani; M. Bierkens
recommend,0.163,Remote Sensing of Groundwater: Current Capabilities and Future Directions,Water Resources Research,2022,10.1029/2022wr032219,59,Kyra H. Adams; J. Reager; P. Rosen; D. Wiese; T. Farr; S. Rao; B. Haines; D. Argus; Zhen Liu; Ryann Smith; J. Famiglietti; M. Rodell
recommend,0.163,Origin of interannual variability in global mean sea level,Proceedings of the National Academy of Sciences of the United States of America,2020,10.1073/pnas.1922190117,45,B. Hamlington; C. Piecuch; J. Reager; H. Chandanpurkar; T. Frederikse; R. Nerem; J. Fasullo; S. Cheon
recommend,0.163,Assessing Water Balance Closure Using Multiple Data Assimilation and Remote Sensing-Based Datasets for Canada,Journal of Hydrometeorology,2021,10.1175/jhm-d-20-0131.1,25,Jefferson S. Wong; Xuebin Zhang; S. Gharari; R. Shrestha; H. Wheater; J. Famiglietti
recommend,0.163,CARDAMOM-FluxVal Version 1.0: a FLUXNET-based Validation System for CARDAMOM Carbon and Water Flux Estimates,Geoscientific Model Development,2021,10.5194/gmd-2021-190,22,Yan Yang; A. Bloom; Shuang Ma; P. Levine; A. Norton; N. Parazoo; J. Reager; J. Worden; G. R. Quetin; T. Smallman; Mat Williams; Liang; Xu; S. Saatchi
recommend,0.163,A High‐Resolution Land Data Assimilation System Optimized for the Western United States,JAWRA Journal of the American Water Resources Association,2021,10.1111/1752-1688.12910,20,J. Erlingis; M. Rodell; C. Peters-Lidard; Bailing Li; Sujay V. Kumar; J. Famiglietti; S. Granger; J. Hurley; Pang‐Wei Liu; D. Mocko
recommend,0.163,Global partitioning of runoff generation mechanisms using remote sensing data,Hydrology and Earth System Sciences,2019,10.5194/hess-24-1415-2020,4,J. Lucey; J. Reager; S. Lopez
recommend,0.163,Impacts of river segmentation strategies on reach-averaged product uncertainties for the upcoming Surface Water and Ocean Topography (SWOT) mission,,2016,,0,R. Frasson; R. Wei; J. Minear; S. Tuozzolo; A. Domeneghetti; M. Durand
recommend,0.163,Reduced Uncertainties from Multifrequency Constraints on Terrestrial Carbon and Water Processes,IEEE International Geoscience and Remote Sensing Symposium,2019,10.1109/igarss.2019.8898581,0,V. Meyer; A. Bloom; M. Burgin; J. Reager; R. Shah; A. Konings
review,0.14,Satellites measure recent rates of groundwater depletion in California's Central Valley,,2011,10.1029/2010gl046442,861,J. Famiglietti; M. Lo; S. L. Ho; J. Bethune; K. Anderson; T. Syed; S. Swenson; C. Linage; M. Rodell
review,0.14,Estimating groundwater storage changes in the Mississippi River basin (USA) using GRACE,,2007,10.1007/s10040-006-0103-7,667,M. Rodell; Jianli Chen; H. Kato; J. Famiglietti; J. Nigro; C. Wilson
review,0.14,Groundwater depletion during drought threatens future water security of the Colorado River Basin,Geophysical Research Letters,2014,10.1002/2014gl061055,340,S. Castle; B. Thomas; J. Reager; M. Rodell; S. Swenson; J. Famiglietti
review,0.14,A comparison of terrestrial water storage variations from GRACE with in situ measurements from Illinois,,2006,10.1029/2006gl026962,236,S. Swenson; P. Yeh; J. Wahr; J. Famiglietti
review,0.14,Illuminating water cycle modifications and Earth system resilience in the Anthropocene,Water Resources Research,2020,10.1029/2019wr024957,163,T. Gleeson; L. Wang‐Erlandsson; M. Porkka; S. Zipper; F. Jaramillo; D. Gerten; I. Fetzer; Sarah E. Cornell; L. Piemontese; Line J. Gordon; J. Rockström; T. Oki; M. Sivapalan; Y. Wada; K. Brauman; M. Flörke; M. Bierkens; Bernhard Lehner; Patrick Keys; M. Kummu; Thorsten Wagener; S. Dadson; Tara J. Troy; Will Steffen; M. Falkenmark; J. Famiglietti
review,0.14,Groundwater rejuvenation in parts of India influenced by water-policy change implementation,Scientific Reports,2017,10.1038/s41598-017-07058-2,149,S. Bhanja; A. Mukherjee; M. Rodell; Y. Wada; Siddhartha Chattopadhyay; I. Velicogna; K. Pangaluru; J. Famiglietti
review,0.14,Estimating profile soil moisture and groundwater variations using GRACE and Oklahoma Mesonet soil moisture data,,2008,10.1029/2007wr006057,134,S. Swenson; J. Famiglietti; J. Basara; J. Wahr
review,0.14,Hotspots for social and ecological impacts from freshwater stress and storage loss,Nature Communications,2022,10.1038/s41467-022-28029-w,127,Xander Huggins; T. Gleeson; M. Kummu; S. Zipper; Y. Wada; T. Troy; J. Famiglietti
review,0.14,Terrestrial water mass load changes from Gravity Recovery and Climate Experiment (GRACE),,2006,10.1029/2005wr004255,113,K. Seo; C. Wilson; J. Famiglietti; Jianli Chen; M. Rodell
review,0.14,Assimilation of GRACE Terrestrial Water Storage Observations into a Land Surface Model for the Assessment of Regional Flood Potential,Remote Sensing,2015,10.3390/rs71114663,93,J. Reager; Alys C. Thomas; E. Sproles; M. Rodell; H. Beaudoing; Bailing Li; J. Famiglietti
review,0.14,Automated River Reach Definition Strategies: Applications for the Surface Water and Ocean Topography Mission,,2017,10.1002/2017wr020887,60,R. Frasson; R. Wei; M. Durand; J. Minear; A. Domeneghetti; G. Schumann; B. Williams; E. Rodríguez; Christophe Picamilh; C. Lion; T. Pavelsky; P. Garambois
review,0.14,Predicting flood damage probability across the conterminous United States,Environmental Research Letters,2022,10.1088/1748-9326/ac4f0f,50,Elyssa L. Collins; G. Sanchez; A. Terando; Charles C. Stillwell; H. Mitásová; A. Sebastian; R. Meentemeyer
review,0.14,Groundwater deeper than 500 m contributes less than 0.1% of global river discharge,Communications Earth & Environment,2023,10.1038/s43247-023-00697-6,31,G. Ferguson; J. McIntosh; S. Jasechko; Ji‐Hyun Kim; J. Famiglietti; J. McDonnell
review,0.14,Optimal estimation of snow and ice surface parameters from imaging spectroscopy measurements,,2021,10.5194/egusphere-egu21-14359,30,Niklas Bohn; D. Thompson; N. Carmon; J. Susiluoto; M. Turmon; M. Helmlinger; R. Green; J. Cook; L. Guanter
review,0.14,Retrieving global surface soil moisture from GRACE satellite gravity data,,2020,10.1016/j.jhydrol.2020.124717,30,M. Sadeghi; Lun Gao; A. Ebtehaj; J. Wigneron; W. Crow; J. Reager; A. Warrick
review,0.14,Evaluation of global land-to-ocean fresh water discharge and evapotranspiration using space-based observations,,2009,10.1016/j.jhydrol.2009.05.014,26,K. Seo; D. Waliser; B. Tian; B. Tian; J. Famiglietti; T. Syed
review,0.14,Using GRACE in a streamflow recession to determine drainable water storage in the Mississippi River basin,Hydrology and Earth System Sciences,2019,10.5194/hess-23-3269-2019,24,H. Ehalt Macedo; R. Beighley; C. David; J. Reager
review,0.14,Using big data analytics to synthesize research domains and identify emerging fields in urban climatology,WIREs Climate Change,2020,10.1002/wcc.688,17,Fei Huo; Li Xu; Yanping Li; J. Famiglietti; Zhenhua Li; Y. Kajikawa; Fei Chen
review,0.14,Cascading Dynamics of the Hydrologic Cycle in California Explored through Observations and Model Simulations,Géosciences,2020,10.3390/geosciences10020071,16,E. Massoud; M. Turmon; J. Reager; J. Hobbs; Zhen Liu; C. David
review,0.14,"An Evaluation of Remotely Sensed and In Situ Data Sufficiency for SGMA‐Scale Groundwater Studies in the Central Valley, California",JAWRA Journal of the American Water Resources Association,2021,10.1111/1752-1688.12898,16,Kyra H. Kim; Zhen Liu; M. Rodell; H. Beaudoing; E. Massoud; James Kitchens; M. Dudek; P. Saylor; Forrest Corcoran; J. Reager
review,0.14,Satellite hydrology observations as operational indicators of forecasted fire danger across the contiguous United States,,2020,10.5194/nhess-20-1097-2020,12,A. Farahmand; E. N. Stavros; J. Reager; A. Behrangi; J. Randerson; B. Quayle
review,0.14,Information content of soil hydrology in a west Amazon watershed as informed by GRACE,Hydrology and Earth System Sciences,2022,10.5194/hess-26-1407-2022,10,E. Massoud; A. Bloom; M. Longo; J. Reager; P. Levine; J. Worden
review,0.14,The Salinity of Coastal Waters as a Bellwether for Global Water Cycle Changes,Geophysical Research Letters,2023,10.1029/2023gl106684,6,S. Fournier; J. Reager; H. Chandanpurkar; M. Pascolini‐Campbell; S. Jarugula
review,0.14,"Satellite Hydrology Observations as Operational Indicators of Forecasted
Fire Danger across the Contiguous United States",,2019,10.5194/nhess-2019-129,5,A. Farahmand; E. N. Stavros; J. Reager; A. Behrangi; J. Randerson; B. Quayle
review,0.14,"Information content of soil hydrology in the Amazon as informed by
GRACE",,2021,10.5194/hess-2021-104,2,E. Massoud; A. A. Bloom; Marcos Longo; J. Reager; Paul A. Levine; John R. Worden
review,0.14,Revisiting Sub‐Surface Drought Cascades With Daily Satellite Observations of Soil Moisture and Terrestrial Water Storage,Water Resources Research,2025,10.1029/2024wr039321,1,Daniel Blank; Annette Eicker; J. Reager; A. Güntner
review,0.14,"Modeling water flow, depth and inundation extent over the rivers of the Contiguous US within a Catchment-based Land Surface Modeling Framework",,2011,,0,Z. Liu; C. David; J. Famiglietti
review,0.14,"Expected Performance of the Upcoming Surface Water and Ocean Topography Mission Measurements of River Height, Width, and Slope",,2017,,0,R. Wei; R. Frasson; B. Williams; E. Rodriguez; T. Pavelsky; E. Altenau; M. Durand
review,0.14,California Reservoir Drought Sensitivity and Exhaustion Risk Using Statistical Graphical Models,,2016,,0,Armeen Taeb; J. Reager; M. Turmon; V. Chandrasekaran
review,0.116,Low degree spherical harmonic influences on Gravity Recovery and Climate Experiment (GRACE) water storage estimates,,2005,10.1029/2005gl022964,191,Jianli Chen; M. Rodell; C. Wilson; J. Famiglietti
review,0.116,"Separation of large scale water storage patterns over Iran using GRACE, altimetry and hydrological data",,2014,10.1016/j.rse.2013.09.025,178,E. Forootan; R. Rietbroek; J. Kusche; M. Sharifi; J. Awange; M. Schmidt; P. Omondi; J. Famiglietti
review,0.116,CYGNSS data map flood inundation during the 2017 Atlantic hurricane season,Scientific Reports,2018,10.1038/s41598-018-27673-x,156,C. Chew; J. Reager; E. Small
review,0.116,Attenuation effect on seasonal basin-scale water storage changes from GRACE time-variable gravity,,2007,10.1007/s00190-006-0104-2,123,Jianli Chen; C. Wilson; J. Famiglietti; M. Rodell
review,0.116,Urban flood modeling with porous shallow-water equations: A case study of model errors in the presence of anisotropic porosity,,2015,10.1016/j.jhydrol.2015.01.059,121,Byung-Hyun Kim; B. Sanders; J. Famiglietti; V. Guinot
review,0.116,Interannual variations of river water storage from a multiple satellite approach: A case study for the Rio Negro River basin,,2008,10.1029/2007jd009438,118,F. Frappart; F. Papa; J. Famiglietti; C. Prigent; W. Rossow; F. Seyler
review,0.116,Global Estimates of Reach‐Level Bankfull River Width Leveraging Big Data Geospatial Analysis,Geophysical Research Letters,2020,10.1029/2019gl086405,64,P. Lin; M. Pan; G. Allen; R. Frasson; Zhenzhong Zeng; Dai Yamazaki; E. Wood
review,0.116,GMD perspective: The quest to improve the evaluation of groundwater representation in continental- to global-scale models,Geoscientific Model Development,2021,10.5194/gmd-14-7545-2021,60,T. Gleeson; T. Wagener; P. Döll; S. Zipper; C. West; Y. Wada; Richard Taylor; B. Scanlon; R. Rosolem; S. Rahman; Nurudeen Oshinlaja; Reed Maxwell; M. Lo; Hyungjun Kim; M. Hill; A. Hartmann; G. Fogg; J. Famiglietti; A. Ducharne; Inge E. M. de Graaf; M. Cuthbert; L. Condon; E. Bresciani; M. Bierkens
review,0.116,Development of a hydrometeorological forcing data set for global soil moisture estimation,,2005,10.1002/joc.1203,56,Aaron A. Berg; J. Famiglietti; M. Rodell; R. Reichle; U. Jambor; S. Holl; Paul R. Houser
review,0.116,Validation of Simulated Runoff From Six Terrestrial Ecosystem Models: Results From Vemap,,2004,10.1890/02-5287,55,W. Gordon; J. Famiglietti; N. Fowler; T. Kittel; K. Hibbard
review,0.116,"Tracking sea surface salinity and dissolved oxygen on a river-influenced, seasonally stratified shelf, Mississippi Bight, northern Gulf of Mexico",Continental Shelf Research,2018,10.1016/j.csr.2018.09.009,53,B. Dzwonkowski; S. Fournier; J. Reager; Scott P. Milroy; Kyeong Park; A. Shiller; A. Greer; I. Soto; S. L. Dykstra; V. Sanial
review,0.116,The power of forecasts to advance ecological theory,Methods in Ecology and Evolution,2022,10.1111/2041-210x.13955,48,Abigail S. L. Lewis; Christine R. Rollinson; A. Allyn; J. Ashander; S. Brodie; Cole B. Brookson; Elyssa L. Collins; M. Dietze; Amanda S. Gallinat; Noel P D Juvigny-Khenafou; Gerbrand Koren; D. McGlinn; H. Moustahfid; Jody A. Peters; N. Record; C. J. Robbins; J. Tonkin; G. Wardle
