status,jpl_coauthored,jpl_authors,core_cms_flux_author,title,doi
KEPT,yes,Dustin Carroll; Dimitris Menemenlis; K. W. Bowman; Ian Fenty; Michelle M. Gierach; Junjie Liu; David Schimel; Tom Van der Stocken; H. Zhang,bowman; junjie liu; schimel; menemenlis,The ECCO‐Darwin data‐assimilative global ocean biogeochemistry model: Estimates of seasonal to multidecadal surface ocean pCO2 and air‐sea CO2 flux,10.1029/2019MS001888
KEPT,yes,Junjie Liu; A. Eldering; David Crisp; David Schimel,junjie liu; chatterjee; schimel; basu,The 2015–2016 carbon cycle as seen from OCO-2 and the global in situ network,10.5194/acp-19-9797-2019
KEPT,yes,Junjie Liu; K. W. Bowman; David Schimel; Nicholas C. Parazoo; Meemong Lee; A. Anthony Bloom; Christian Frankenberg; Ying Sun; Dimitris Menemenlis; Michelle M. Gierach; David Crisp; A. Eldering,bowman; junjie liu; parazoo; schimel; menemenlis,Contrasting carbon cycle responses of the tropical continents to the 2015-2016 El Nino,10.1126/science.aam5690
KEPT,yes,A. Anthony Bloom; K. W. Bowman; Meemong Lee; John R. Worden; Richard Weidner; K. C. McDonald,bowman,A global wetland methane emissions and uncertainty dataset for atmospheric chemical transport models (WetCHARTs version 1.0),10.5194/gmd-10-2141-2017
KEPT,yes,Junjie Liu; K. W. Bowman; Meemong Lee; Dimitris Menemenlis,bowman; junjie liu; menemenlis,Carbon monitoring system flux estimation and attribution: impact of ACOS-GOSAT XCO2 sampling on the inference of terrestrial biospheric sources and sinks,10.3402/tellusb.v66.22486
KEPT,yes,K. W. Bowman; Vivienne H. Payne,bowman,Estimating global and North American methane emissions with high spatial resolution using GOSAT satellite data,10.5194/ACP-15-7049-2015
KEPT,yes,K. W. Bowman; Junjie Liu,bowman; junjie liu; basu,Quantifying the Impact of Atmospheric Transport Uncertainty on CO2 Surface Flux Estimates,10.1029/2018GB006086
KEPT,yes,Junjie Liu,junjie liu; basu,The impact of transport model differences on CO 2 surface flux estimates from OCO-2 retrievals of column average CO 2,10.5194/ACP-18-7189-2018
KEPT,yes,Junjie Liu,junjie liu,"Southern California megacity CO2, CH4, and CO flux estimates using ground- and space-based remote sensing and a Lagrangian model",10.5194/ACP-18-16271-2018
KEPT,yes,Junjie Liu,junjie liu,Estimation of surface carbon fluxes with an advanced data assimilation methodology,10.1029/2012JD018259
KEPT,yes,Brendan Byrne; Nima Madani; Charles E. Miller,byrne,Carbon uptake in Eurasian boreal forests dominates the high‐latitude net ecosystem carbon budget,10.1111/gcb.16553
KEPT,yes,Dimitris Menemenlis; K. W. Bowman; Junjie Liu; A. Eldering; M. R. Gunson,bowman; junjie liu; menemenlis,Assessing the magnitude of CO2 flux uncertainty in atmospheric CO2 records using products from NASA's Carbon Monitoring Flux Pilot Project,10.1002/2014JD022411
KEPT,yes,Junjie Liu,junjie liu,Prior biosphere model impact on global terrestrial CO2 fluxes estimated from OCO-2 retrievals,10.5194/ACP-19-13267-2019
KEPT,yes,Brendan Byrne; Junjie Liu; Meemong Lee; K. W. Bowman; Matthäus Kiel; Charles E. Miller; Nicholas C. Parazoo,bowman; junjie liu; byrne; parazoo,Improved Constraints on Northern Extratropical CO2 Fluxes Obtained by Combining Surface‐Based and Space‐Based Atmospheric CO2 Measurements,10.1029/2019JD032029
KEPT,yes,Daniel Cusworth; A. Anthony Bloom; Shuang Ma; Charles E. Miller; K. W. Bowman; John R. Worden,bowman,A Bayesian framework for deriving sector-based methane emissions from top-down fluxes,10.1038/s43247-021-00312-6
KEPT,yes,A. Anthony Bloom,,High-resolution inversion of methane emissions in the Southeast US using SEAC 4 RS aircraft observations of atmospheric methane: anthropogenic and wetland sources,10.5194/ACP-18-6483-2018
DROP-no-JPL,no,,,Towards constraints on fossil fuel emissions from total column carbon dioxide,10.5194/ACP-13-4349-2013
KEPT,yes,A. Anthony Bloom; K. W. Bowman,bowman,Carbon Flux Variability From a Relatively Simple Ecosystem Model With Assimilated Data Is Consistent With Terrestrial Biosphere Model Estimates,10.1029/2019MS001889
KEPT,yes,Junjie Liu; K. W. Bowman; Nicholas C Parazoo; A. Anthony Bloom; David Schimel,bowman; junjie liu; parazoo; schimel,Detecting drought impact on terrestrial biosphere carbon fluxes over contiguous US with satellite observations,10.1088/1748-9326/aad5ef
KEPT,yes,Junjie Liu; K. W. Bowman,bowman; junjie liu,Source‐receptor relationships of column‐average CO2 and implications for the impact of observations on flux inversions,10.1002/2014JD022914
DROP-no-JPL,no,,,Ground-Based Mobile Measurements to Track Urban Methane Emissions from Natural Gas in 12 Cities across Eight Countries,10.1021/acs.est.3c03160
DROP-no-JPL,no,,,Seasonal variability of stratospheric methane: implications for constraining tropospheric methane budgets using total column observations,10.5194/ACP-16-14003-2016
KEPT,yes,Junjie Liu; K. W. Bowman; Meemong Lee,bowman; junjie liu,Comparison between the Local Ensemble Transform Kalman Filter (LETKF) and 4D‐Var in atmospheric CO2 flux inversion with the Goddard Earth Observing System‐Chem model and the observation impact diagnostics from the LETKF,10.1002/2016JD025100
KEPT,yes,K. W. Bowman; Jeffrey Jewell; Junjie Liu,bowman; junjie liu,Emergent constraints on tropical atmospheric aridity—carbon feedbacks and the future of carbon sequestration,10.1088/1748-9326/ac2ce8
KEPT,yes,Junjie Liu,junjie liu,Linking global terrestrial CO2 fluxes and environmental drivers: inferences from the Orbiting Carbon Observatory 2 satellite and terrestrial biospheric models,10.5194/ACP-21-6663-2021
DROP-no-JPL,no,,,Characterizing model errors in chemical transport modeling of methane: using GOSAT XCH4 data with weak-constraint four-dimensional variational data assimilation,10.5194/ACP-21-9545-2021
KEPT,yes,Brendan Byrne; Junjie Liu,junjie liu; byrne,China's Terrestrial Carbon Sink Over 2010–2015 Constrained by Satellite Observations of Atmospheric CO2 and Land Surface Variables,10.1029/2021JG006644
KEPT,yes,A. Anthony Bloom; K. W. Bowman; Kazuyuki Miyazaki; John R. Worden,bowman,Optimizing the Isoprene Emission Model MEGAN With Satellite and Ground‐Based Observational Constraints,10.1029/2022JD037822
DROP-no-JPL,no,,,The Facility Level and Area Methane Emissions inventory for the Greater Toronto Area (FLAME-GTA),10.1016/J.ATMOSENV.2021.118319
KEPT,yes,A. Anthony Bloom; K. W. Bowman; Junjie Liu,bowman; junjie liu,Attributing Past Carbon Fluxes to CO2 and Climate Change: Respiration Response to CO2 Fertilization Shifts Regional Distribution of the Carbon Sink,10.1029/2022GB007478
KEPT,yes,Joshua B. Fisher; Munish Sikka; Junjie Liu,junjie liu,Technical note: 3-hourly temporal downscaling of monthly global terrestrialbiosphere model net ecosystem exchange,10.5194/BG-13-4271-2016
KEPT,yes,Junjie Liu; K. W. Bowman,bowman; junjie liu,Atmospheric Simulations of Total Column CO2 Mole Fractions from Global to Mesoscale within the Carbon Monitoring System Flux Inversion Framework,10.3390/atmos11080787
KEPT,yes,Junjie Liu; K. W. Bowman,bowman; junjie liu,A method for independent validation of surface fluxes from atmospheric inversion: Application to CO2,10.1002/2016GL067828
KEPT,yes,Le Kuai; K. W. Bowman; Meemong Lee; Nicholas C. Parazoo,bowman; parazoo,Remotely Sensed Carbonyl Sulfide Constrains Model Estimates of Amazon Primary Productivity,10.1029/2021GL096802
KEPT,yes,Junjie Liu,junjie liu; basu,Evaluating Global Atmospheric Inversions of Terrestrial Net Ecosystem Exchange CO2 Over North America on Seasonal and Sub‐Continental Scales,10.1029/2022GL100147
DROP-no-JPL,no,,,Estimating methane emissions from the waste sector in Southern Ontario using atmospheric measurements,10.1080/10962247.2024.2435340
KEPT,yes,Kazuyuki Miyazaki; K. W. Bowman,bowman,CHEEREIO 1.0: a versatile and user-friendly ensemble-based chemical data assimilation and emissions inversion platform for the GEOS-Chem chemical transport model,10.5194/gmd-16-4793-2023
KEPT,yes,Jeongmin Yun; Junjie Liu; Brendan Byrne,junjie liu; byrne,Quantification of regional net CO2 flux errors in the Orbiting Carbon Observatory-2 (OCO-2) v10 model intercomparison project (MIP) ensemble using airborne measurements,10.5194/acp-25-1725-2025
KEPT,yes,T. Eren Bilir; A. Anthony Bloom; Junjie Liu; Nicholas C. Parazoo; Paul A. Levine; Shuang Ma; Renato K. Braghiere; K. W. Bowman; Sassan Saatchi; David Schimel; Charles E. Miller; Sudhanshu Pandey; Alex Patton; Yan Yang,bowman; junjie liu; parazoo; schimel,Satellite‐Constrained Reanalysis Reveals CO2 Versus Climate Process Compensation Across the Global Land Carbon Sink,10.1029/2025AV001689
KEPT,yes,Junjie Liu; K. W. Bowman; Paul I. Palmer; Paul A. Levine; A. Anthony Bloom; Sassan Saatchi; Michael Keller; Marcos Longo; David Schimel,bowman; junjie liu; schimel,Enhanced Carbon Flux Response to Atmospheric Aridity and Water Storage Deficit During the 2015–2016 El Niño Compromised Carbon Balance Recovery in Tropical South America,10.1029/2024AV001187
