suggested_action,reason,title,venue,year,doi,citations_s2,source
recommend,strong CMS-Flux flux/inversion signal,Towards constraints on fossil fuel emissions from total column carbon dioxide,,2012,10.5194/ACP-13-4349-2013,38,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Carbon Flux Variability From a Relatively Simple Ecosystem Model With Assimilated Data Is Consistent With Terrestrial Biosphere Model Estimates,Journal of Advances in Modeling Earth Systems,2020,10.1029/2019MS001889,37,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Detecting drought impact on terrestrial biosphere carbon fluxes over contiguous US with satellite observations,Environmental Research Letters,2018,10.1088/1748-9326/aad5ef,35,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Source‐receptor relationships of column‐average CO2 and implications for the impact of observations on flux inversions,,2015,10.1002/2014JD022914,34,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Ground-Based Mobile Measurements to Track Urban Methane Emissions from Natural Gas in 12 Cities across Eight Countries,Environmental Science and Technology,2024,10.1021/acs.est.3c03160,34,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Seasonal variability of stratospheric methane: implications for constraining tropospheric methane budgets using total column observations,,2016,10.5194/ACP-16-14003-2016,30,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Comparison between the Local Ensemble Transform Kalman Filter (LETKF) and 4D‐Var in atmospheric CO2 flux inversion with the Goddard Earth Observing System‐Chem model and the observation impact diagnostics from the LETKF,,2016,10.1002/2016JD025100,28,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Emergent constraints on tropical atmospheric aridity—carbon feedbacks and the future of carbon sequestration,Environmental Research Letters,2021,10.1088/1748-9326/ac2ce8,25,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Characterization of OCO-2 and ACOS-GOSAT biases and errors for CO2 flux estimates,,2019,10.5194/amt-2019-257,24,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Towards sector-based attribution using intra-city variations in satellite-based emission ratios between CO2 and CO,Atmospheric Chemistry and Physics,2022,10.5194/acp-2021-1029,23,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,"Prior biosphere model impact on global terrestrial CO2 fluxes estimated 
from OCO-2 retrievals",,2019,10.5194/acp-2018-1095,23,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Linking global terrestrial CO2 fluxes and environmental drivers: inferences from the Orbiting Carbon Observatory 2 satellite and terrestrial biospheric models,,2021,10.5194/ACP-21-6663-2021,21,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Characterizing model errors in chemical transport modeling of methane: using GOSAT XCH4 data with weak-constraint four-dimensional variational data assimilation,Atmospheric Chemistry and Physics,2021,10.5194/ACP-21-9545-2021,21,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,China's Terrestrial Carbon Sink Over 2010–2015 Constrained by Satellite Observations of Atmospheric CO2 and Land Surface Variables,Journal of Geophysical Research - Biogeosciences,2022,10.1029/2021JG006644,20,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Optimizing the Isoprene Emission Model MEGAN With Satellite and Ground‐Based Observational Constraints,Journal of Geophysical Research - Atmospheres,2023,10.1029/2022JD037822,19,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,The Facility Level and Area Methane Emissions inventory for the Greater Toronto Area (FLAME-GTA),,2021,10.1016/J.ATMOSENV.2021.118319,19,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Attributing Past Carbon Fluxes to CO2 and Climate Change: Respiration Response to CO2 Fertilization Shifts Regional Distribution of the Carbon Sink,Global Biogeochemical Cycles,2023,10.1029/2022GB007478,18,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Technical note: 3-hourly temporal downscaling of monthly global terrestrialbiosphere model net ecosystem exchange,,2016,10.5194/BG-13-4271-2016,16,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Atmospheric Simulations of Total Column CO2 Mole Fractions from Global to Mesoscale within the Carbon Monitoring System Flux Inversion Framework,,2020,10.3390/atmos11080787,14,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,A method for independent validation of surface fluxes from atmospheric inversion: Application to CO2,,2016,10.1002/2016GL067828,11,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Remotely Sensed Carbonyl Sulfide Constrains Model Estimates of Amazon Primary Productivity,Geophysical Research Letters,2022,10.1029/2021GL096802,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Evaluating Global Atmospheric Inversions of Terrestrial Net Ecosystem Exchange CO2 Over North America on Seasonal and Sub‐Continental Scales,Geophysical Research Letters,2022,10.1029/2022GL100147,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Estimating methane emissions from the waste sector in Southern Ontario using atmospheric measurements,Journal of the Air and Waste Management Association,2024,10.1080/10962247.2024.2435340,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,CHEEREIO 1.0: a versatile and user-friendly ensemble-based chemical data assimilation and emissions inversion platform for the GEOS-Chem chemical transport model,Geoscientific Model Development,2023,10.5194/gmd-16-4793-2023,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Quantification of regional net CO2 flux errors in the Orbiting Carbon Observatory-2 (OCO-2) v10 model intercomparison project (MIP) ensemble using airborne measurements,Atmospheric Chemistry and Physics,2025,10.5194/acp-25-1725-2025,7,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Characterizing model errors in chemical transport modelling of methane: Using GOSAT XCH4 data with weak constraint four-dimensional variational data assimilation,,2019,10.5194/acp-2019-786,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,"Southern California Megacity CO2, CH4, and CO flux estimates
using remote sensing and a Lagrangian model",,2018,10.5194/ACP-2018-517,5,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Satellite‐Constrained Reanalysis Reveals CO2 Versus Climate Process Compensation Across the Global Land Carbon Sink,AGU Advances,2025,10.1029/2025AV001689,5,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Enhanced Carbon Flux Response to Atmospheric Aridity and Water Storage Deficit During the 2015–2016 El Niño Compromised Carbon Balance Recovery in Tropical South America,AGU Advances,2024,10.1029/2024AV001187,5,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Oceanic sources, sinks, and transport of atmospheric CO2",,2009,10.1029/2008GB003349,564,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Inverse estimates of anthropogenic CO2 uptake, transport, and storage by the ocean",,2006,10.1029/2005GB002530,413,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Toward accurate CO2 and CH4 observations from GOSAT,,2011,10.1029/2011GL047888,385,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Importance of secondary sources in the atmospheric budgets of formic and acetic acids,Atmospheric Chemistry and Physics,2010,10.5194/acp-11-1989-2011,332,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Daily and 3‐hourly variability in global fire emissions and consequences for atmospheric model predictions of carbon monoxide,,2011,10.1029/2011JD016245,297,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Improved retrievals of carbon dioxide from Orbiting Carbon Observatory-2 with the version 8 ACOS algorithm,Atmospheric Measurement Techniques,2018,10.5194/AMT-11-6539-2018,281,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The Orbiting Carbon Observatory-2: first 18 months of science data products,,2016,10.5194/AMT-10-549-2017,267,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The Orbiting Carbon Observatory-2 early science investigations of regional carbon dioxide fluxes,Science,2017,10.1126/science.aam5745,256,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Appendices to: Emissions of greenhouse gases from a North American megacity,,2009,,256,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Toward accurate CO_2 and CH_4 observations from GOSAT,,2011,,214,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Inverse estimates of the oceanic sources and sinks of natural CO2 and the implied oceanic carbon transport,,2007,10.1029/2006GB002751,186,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,“Variable localization” in an ensemble Kalman filter: Application to the carbon cycle data assimilation,,2011,10.1029/2010JD014673,148,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,A decade of GOSAT Proxy satellite CH4 observations,Earth System Science Data,2020,10.5194/essd-2020-114,142,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Inferring regional sources and sinks of atmospheric CO 2 from GOSAT XCO 2 data,,2013,10.5194/ACP-14-3703-2014,142,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Improved Retrievals of Carbon Dioxide from the Orbiting Carbon
Observatory-2 with the version 8 ACOS algorithm",,2018,10.5194/amt-2018-257,136,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Variability and quasi-decadal changes in the methane budget over the period 2000–2012,Atmospheric Chemistry and Physics,2017,10.5194/ACP-17-11135-2017,122,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The imprint of surface fluxes and transport on variations in total column carbon dioxide,,2011,10.5194/BG-9-875-2012,119,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Four years of global carbon cycle observed from the Orbiting Carbon Observatory 2 (OCO-2) version 9 and in situ data and comparison to OCO-2 version 7,Atmospheric Chemistry and Physics,2022,10.5194/acp-22-1097-2022,110,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Interpreting seasonal changes in the carbon balance of southern Amazonia using measurements of XCO2 and chlorophyll fluorescence from GOSAT,,2013,10.1002/GRL.50452,105,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Societal shifts due to COVID-19 reveal large-scale complexities and feedbacks between atmospheric chemistry and climate change,Proceedings of the National Academy of Sciences of the United States of America,2021,10.1073/pnas.2109481118,103,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Forecasting global atmospheric CO 2,,2014,10.5194/ACP-14-11959-2014,100,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Effects of atmospheric light scattering on spectroscopic observations of greenhouse gases from space: Validation of PPDF-based CO_2 retrievals from GOSAT,,2012,10.1029/2012JD017505/ABSTRACT,97,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Atmospheric validation of high accuracy CO2 absorption coefficients for the OCO-2 mission,,2012,10.1016/J.JQSRT.2012.05.021,92,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Carbon isotope evidence for the latitudinal distribution and wind speed dependence of the air–sea gas transfer velocity,,2006,10.1111/j.1600-0889.2006.00223.x,90,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Modelling CO2 weather – why horizontal resolution matters,Atmospheric Chemistry and Physics,2019,10.5194/ACP-19-7347-2019,84,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Observing carbon cycle–climate feedbacks from space,Proceedings of the National Academy of Sciences of the United States of America,2018,10.1073/pnas.1716613115,78,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Modeling transport and fate of riverine dissolved organic carbon in the Arctic Ocean,,2009,10.1029/2008GB003396,78,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Quantifying the loss of processed natural gas within California's South Coast Air Basin using long-term measurements of ethane and methane,,2016,10.5194/ACP-16-14091-2016,76,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Water vapor isotopologue retrievals from high-resolution GOSAT shortwave infrared spectra,,2012,10.5194/AMT-6-263-2013,67,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"The Carbon Cycle of Southeast Australia During 2019–2020: Drought, Fires, and Subsequent Recovery",AGU Advances,2021,10.1029/2021AV000469,66,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Spring photosynthetic onset and net CO2 uptake in Alaska triggered by landscape thawing,Global Change Biology,2018,10.1111/gcb.14283,64,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Global and Brazilian Carbon Response to El Niño Modoki 2011–2010,,2017,10.1002/2016EA000204,59,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Recovery of Ecosystem Carbon and Energy Fluxes From the 2003 Drought in Europe and the 2012 Drought in the United States,Geophysical Research Letters,2018,10.1029/2018GL077518,59,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Predictability of fossil fuel CO2 from air quality emissions,Nature Communications,2023,10.1038/s41467-023-37264-8,56,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Investigation of the Spatial Distribution of Methane Sources in the Greater Toronto Area Using Mobile Gas Monitoring Systems.,Environmental Science and Technology,2020,10.1021/acs.est.0c05386,55,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Toward “optimal” integration of terrestrial biosphere models,,2015,10.1002/2015GL064002,54,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The Orbiting Carbon Observatory (OCO-2) tracks 2–3 peta-gram increase in carbon release to the atmosphere during the 2014–2016 El Niño,Scientific Reports,2017,10.1038/s41598-017-13459-0,54,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Cropland Carbon Uptake Delayed and Reduced by 2019 Midwest Floods,AGU Advances,2020,10.1029/2019AV000140,51,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"El Niño, the 2006 Indonesian peat fires, and the distribution of atmospheric methane",,2013,10.1002/grl.50937,49,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Fire decline in dry tropical ecosystems enhances decadal land carbon sink,Nature Communications,2020,10.1038/s41467-020-15852-2,46,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,On the role of atmospheric model transport uncertainty in estimating the Chinese land carbon sink,Nature,2022,10.1038/s41586-021-04258-9,46,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,A model of the Arctic Ocean carbon cycle,,2011,10.1029/2011JC006998,46,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Simulating estimation of California fossil fuel and biosphere carbon dioxide exchanges combining in situ tower and satellite column observations,,2017,10.1002/2016JD025617,44,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Characterizing model errors in chemical transport modeling of methane: impact of model resolution in versions v9-02 of GEOS-Chem and v35j of its adjoint model,Geoscientific Model Development,2019,10.5194/gmd-2019-248,44,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,CO2 transport uncertainties from the uncertainties in meteorological fields,,2011,10.1029/2011GL047213,43,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Amplification of the Ocean Carbon Sink During El Niños: Role of Poleward Ekman Transport and Influence on Atmospheric CO2,Global Biogeochemical Cycles,2020,10.1029/2020GB006574,42,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Modeling the Recent Changes in the Arctic Ocean CO2 Sink (2006–2013),Global Biogeochemical Cycles,2019,10.1029/2018GB006070,41,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Seasonal Characteristics of Model Uncertainties From Biogenic Fluxes, Transport, and Large‐Scale Boundary Inflow in Atmospheric CO2 Simulations Over North America",Journal of Geophysical Research - Atmospheres,2019,10.1029/2019JD031165,40,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Simultaneous assimilation of AIRS Xco2 and meteorological observations in a carbon climate model with an ensemble Kalman filter,,2012,10.1029/2011JD016642,40,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Wildfires offset the increasing but spatially heterogeneous Arctic–boreal CO2 uptake,Nature Climate Change,2025,10.1038/s41558-024-02234-5,39,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Semi-autonomous sounding selection for OCO-2,,2013,10.5194/AMT-6-2851-2013,38,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Inverse modelling of Chinese NOx emissions using deep learning: integrating in situ observations with a satellite-based chemical reanalysis,Atmospheric Chemistry and Physics,2022,10.5194/acp-22-14059-2022,32,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Satellite Observations of the Tropical Terrestrial Carbon Balance and Interactions With the Water Cycle During the 21st Century,Reviews of Geophysics,2021,10.1029/2020RG000711,31,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,First Top‐Down Estimates of Anthropogenic NOx Emissions Using High‐Resolution Airborne Remote Sensing Observations,,2018,10.1002/2017JD028009,31,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Technical Note: Latitude-time variations of atmospheric column-average dry air mole fractions of CO 2 , CH 4 and N 2 O",,2012,10.5194/ACP-12-7767-2012,29,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Evaluation of the Potential Use of Satellite-Derived XCO2 in Detecting CO2 Enhancement in Megacities with Limited Ground Observations: A Case Study in Seoul Using Orbiting Carbon Observatory-2,Asia-Pacific Journal of Atmospheric Sciences,2020,10.1007/s13143-020-00202-5,27,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Biases in atmospheric CO 2 estimates from correlated meteorology modeling errors,,2015,10.5194/ACP-15-2903-2015,27,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Genetic relationship between hydrocarbon system evolution and Carlin-type gold mineralization: Insights from ReOs pyrobitumen and pyrite geochronology in the Nanpanjiang Basin, South China",,2021,10.1016/j.chemgeo.2020.119953,26,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Estimating enhancement ratios of nitrogen dioxide, carbon monoxide and carbon dioxide using satellite observations",Atmospheric Chemistry and Physics,2023,10.5194/acp-23-3493-2023,26,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Validation of Carbon Trace Gas Profile Retrievals from the NOAA-Unique Combined Atmospheric Processing System for the Cross-Track Infrared Sounder,Remote Sensing,2020,10.3390/rs12193245,25,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Investigating the sensitivity of soil heterotrophic respiration to recent snow cover changes in Alaska using a satellite-based permafrost carbon model,,2020,10.5194/bg-17-5861-2020,23,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Journal of Geophysical Research: Atmospheres Emissions and topographic effects on column CO2 (XCO2) variations, with a focus on the Southern California Megacity",,2017,,21,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Evaluation and Analysis of the Seasonal Cycle and Variability of the Trend from GOSAT Methane Retrievals,Remote Sensing,2019,10.3390/RS11070882,20,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The Atmospheric Imaging Mission for Northern Regions: AIM-North,Canadian journal of remote sensing,2019,10.1080/07038992.2019.1643707,20,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Do State‐Of‐The‐Art Atmospheric CO2 Inverse Models Capture Drought Impacts on the European Land Carbon Uptake?,Journal of Advances in Modeling Earth Systems,2023,10.1029/2022MS003150,19,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Four years of global carbon cycle observed from OCO-2 version 9 and in situ data, and comparison to OCO-2 v7",,2021,10.5194/acp-2021-373,18,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,A Geostatistical Framework for Quantifying the Imprint of Mesoscale Atmospheric Transport on Satellite Trace Gas Retrievals,Journal of Geophysical Research - Atmospheres,2019,10.1029/2018JD029933,18,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Five years of variability in the global carbon cycle: comparing an estimate from the Orbiting Carbon Observatory-2 and process-based models,Environmental Research Letters,2021,10.1088/1748-9326/abfac1,16,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Verifying Methane Inventories and Trends With Atmospheric Methane Data,AGU Advances,2023,10.1029/2023AV000871,16,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Retrieval of atmospheric CO2 vertical profiles from ground-based near-infrared spectra,,2021,10.5194/AMT-14-3087-2021,16,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Using high-resolution laboratory and ground-based solar spectra to assess CH4 absorption coefficient calculations,,2017,10.1016/J.JQSRT.2016.12.013,16,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Quality Evaluation of the Column-Averaged Dry Air Mole Fractions of Carbon Dioxide and Methane Observed by GOSAT and GOSAT-2,Sola,2023,10.2151/sola.2023-023,15,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Assessing the feasibility of using a neural network to filter Orbiting Carbon Observatory 2 (OCO-2) retrievals at northern high latitudes,,2021,,15,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Improving atmospheric CO 2 retrievals using line mixing and speed-dependence when fitting high-resolution ground-based solar spectra,,2016,10.1016/J.JMS.2016.01.007,15,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Future Weakening of the ENSO Ocean Carbon Buffer Under Anthropogenic Forcing,Geophysical Research Letters,2021,10.1029/2021GL094021,14,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The impact of spectral resolution on satellite retrieval accuracy of CO2 and CH4,,2013,10.5194/AMT-7-1105-2014,14,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Supplementary material to ""Spatial distributions of XCO2 seasonal cycle amplitude and phase over northern high latitude regions""",,,10.5194/acp-2021-185-supplement,13,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Neutral Tropical African CO2 Exchange Estimated From Aircraft and Satellite Observations,Global Biogeochemical Cycles,2023,10.1029/2023GB007804,12,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Covariation of Airborne Biogenic Tracers (CO2, COS, and CO) Supports Stronger Than Expected Growing Season Photosynthetic Uptake in the Southeastern US",Global Biogeochemical Cycles,2020,10.1029/2021GB006956,12,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
